id,char1,char2,char3,char4,example,mean,py1,py2,py3,py4,pytone1,pytone2,pytone3,pytone4,source
50,安,家,立,业,你们父子帮助我～，我一辈子也忘不了。（染斌《红旗谱》第一卷）,安置家庭，创立基业或事业。也指长期在一个地方劳动和生活。,an,jia,li,ye,ān,jiā,lì,yè,
51,安,家,落,户,台湾每年可收二三季，我们去只要辛苦得几个月，就可以～了。（郭沫若《郑成功》第四章）,到一个新地方安家，长期居住。,an,jia,luo,hu,ān,jiā,luò,hù,
52,安,居,乐,业,反动军阀的残暴统治，使广大人民无法～，只能四处逃亡。,安：安定；乐：喜爱，愉快；业：职业。指安定愉快地生活和劳动。,an,ju,le,ye,ān,jū,lè,yè,《老子》：“民各甘其食，美其服，安其俗，乐其业，至老死不相往来。”《汉书·货殖列传》“各安其居而乐其业，甘其食而美其服。”
53,安,老,怀,少,诚为枉法营私，原王章所不宥；要知～，亦圣道之大同。（《儿女英雄传》第三十五回）,尊重老人，使其安逸；关怀年轻人，使其信服。,an,lao,huai,shao,ān,lǎo,huái,shào,《论语·公冶长》：“子路曰：‘原闻子之志。’子曰：‘老者安之，朋友信之，少者怀之。’”
54,安,良,除,暴,《三侠五义》间在叙勇侠之士，游行村市，～，为国立功。（鲁迅《中国小说史略》）,安抚善良的人，铲除强暴的人。,an,liang,chu,bao,ān,liáng,chú,bào,宋·李昉《太平广记》：“舍之职责，在乎除暴安良。”
55,安,眉,带,眼,你也是～的人，直须要我开口说。（明·施耐庵《水浒全传》第二十八回）,长了眉毛，有了眼睛。意思是同样是一个人。,an,mei,dai,yan,ān,méi,dài,yǎn,
56,安,民,告,示,开会要事先通知，像出～一样，让大家知道要讨论什么问题，解决什么问题，并且早做准备。（毛泽东《党委会的工作方法》）,安定人心的布告。现也指把要商量的或要办的事情预先通知大家。,an,min,gao,shi,ān,mín,gào,shì,清·金念劬《避兵十日记》：“嘱两县速出安民告示，谕令店铺照常开张。”
57,安,内,攘,外,～之大经，富国强兵之远略。（孙中山《上李鸿章书》）,原就药的疗效而言。后多指安定内部，排除外患。,an,nei,rang,wai,ān,nèi,rǎng,wài,汉·张仲景《伤寒论·太阳病上》：“甘草甘平，有安内攘外之能。”
58,安,贫,乐,道,劝人～是古今治国平天下的大经络，开过的方子也很多，但都没有十全大补的功效。（鲁迅《花边文学·安贫乐道法》）,安于贫穷，以坚持自己的信念为乐。旧时士大夫所主张的为人处世之道。,an,pin,le,dao,ān,pín,lè,dào,《后汉书·杨彪传》：“安贫乐道，恬于进趣。”
59,安,贫,乐,贱,,安于贫贱，并以此为乐。,an,pin,le,jian,ān,pín,lè,jiàn,《后汉书·蔡邕传》：“夫子生清穆之世，禀醇和之灵，覃思典籍，韫椟《六经》，安贫乐贱，与世无营。”
60,安,然,如,故,,还象原来那样安安稳稳。,an,ran,ru,gu,ān,rán,rú,gù,元·纪君祥《赵氏孤儿》第四折：“你只看这一个，那一个，都是为谁而卒？岂可我做儿的倒安然如故？”
61,安,然,无,事,要得～，除非把你两家合成一家，我一个人儿就好照顾了。（清·文康《儿女英雄传》第九回）,犹言平安无事。,an,ran,wu,shi,ān,rán,wú,shì,《野叟曝言》第三十二回：“四嫂不来聒噪，耳根清净，倒也安然无事，除非把你两家合成一家，我一个人就好照顾了。”
62,安,然,无,恙,只求处士每岁元旦，作一朱幡，上图日月五星之文，立于苑东，吾辈则～矣。（明·冯梦龙《醒世恒言》第四卷）,恙：病。原指人平安没有疾病。现泛指事物平安未遭损害。,an,ran,wu,yang,ān,rán,wú,yàng,《战国策·齐策》：“岁亦无恙耶？民亦无恙耶？王亦无恙耶？。”
63,安,忍,无,亲,李世绩之～也，置父于窦建德之刃下而不恤。（《读通鉴论·唐高宗》）,安心于做残忍的事情，因而无所谓亲人。,an,ren,wu,qin,ān,rěn,wú,qīn,《左传·隐公四年》：“夫州吁阻兵而安忍。阻兵无众，安忍无亲。众叛亲离，难以济矣。”
64,安,如,磐,石,他的公司的权威地位～。,磐石：大石头。如同磐石一般安然不动。形容非常稳固。,an,ru,pan,shi,ān,rú,pán,shí,《荀子·富国》：“为名者否，为利者否，为忿者否，则国安于磐石，寿于旗翼。”
65,安,如,泰,山,在敌人的强大攻势下，我军阵地～。,形容象泰山一样稳固，不可动摇。,an,ru,tai,shan,ān,rú,tài,shān,汉·枚乘《上书谏吴王》：“变所欲为，易于反掌，安于泰山。”
66,安,身,立,命,那里是镇守边庭，用人之际，足可以～。（明·施耐庵《水浒全传》第二回）,安身：在某处安下身来；立命：精神有所寄托。指生活有着落，精神有所寄托。,an,shen,li,ming,ān,shēn,lì,mìng,宋·释道原《景德传灯录》卷十：“僧问：‘学人不据地时如何？’师云：‘汝向什么处安身立命？’”
67,安,身,为,乐,,身子安定就是快乐。,an,shen,wei,le,ān,shēn,wéi,lè,《三国志·蜀书·秦宓传》：“安身为乐，无忧为福。”
68,安,身,之,处,能够找到职业，找到～，该是多么令人高兴啊。（杨沫《青春之歌》第三章）,指得以立足容身的地方。,an,shen,zhi,chu,ān,shēn,zhī,chù,
69,安,身,之,地,,存身的地方。批在某地居住、生活，或以某地作为建业的根基。,an,shen,zhi,di,ān,shēn,zhī,dì,明·罗贯中《三国演义》第四十回：“近闻刘景升病在危笃，可乘此机会，取得荆州为安身之地。”
70,安,时,处,顺,他长期以来～，缺乏锻炼，因而经不起挫折。,安于常分，顺其自然。形容满足于现状。,an,shi,chu,shun,ān,shí,chǔ,shùn,《庄子·养生主》：“安时而处顺，哀乐不能入也。”
71,安,室,利,处,,指安全便利的处所。,an,shi,li,chu,ān,shì,lì,chù,《庄子·徐无鬼》：“奎蹄曲隈，乳间股脚，自以为安室利处。”
72,安,适,如,常,待交了春，天气渐见和暖，就～了。（叶圣陶《线下集·孤独》）,安静而舒适，象往常一样。指经过某种变动后，恢复了正常，使人感到舒适。,an,shi,ru,chang,ān,shì,rú,cháng,
73,安,土,重,迁,自古道：“～。”说了离乡背井，那一个不怕的。（明·冯梦龙《东周列国志》第七十八回）,土：乡土；重：看得重，不轻易。安于本乡本土，不愿轻易迁移。,an,tu,zhong,qian,ān,tǔ,zhòng,qiān,《汉书·元帝纪》：“安土重迁，黎民之性；骨肉相附，人情所愿也。”
74,安,危,相,易,,易：变易，转变。平安与危难互为因果，相互转换。,an,wei,xiang,yi,ān,wēi,xiāng,yì,《庄子·则阳》：“安危相易，祸福相生，缓解相摩，聚散以成。此名实之可纪，精微之可志也。”
75,安,危,与,共,,共同享受安乐，共同承担危难。形容关系密切，利害相连。,an,wei,yu,gong,ān,wēi,yǔ,gòng,三国魏·曹植《求自试表》：“而臣敢陈闻于陛下者，诚与国分形同气，忧患共之者也。”
76,安,闲,自,得,,自得：自己感到舒适。安静清闲，感到非常舒适。,an,xian,zi,de,ān,xián,zì,dé,明·冯梦龙《醒世恒言·蔡瑞虹忍辱报仇》：“不如在家安闲自在，快活过了日子，却去讨这样烦恼吃！”
77,安,闲,自,在,贤契们不必介怀，只恐朝廷放不下我；若能休致，老夫倒得个～。（清·钱彩《说岳全传》第十三回）,安静清闲，自由自在。形容清闲无事。,an,xian,zi,zai,ān,xián,zì,zài,明·李贽《焚书·预约·早晚礼仪》：“有问乃答，不问即默，安闲自在，从容应付，不敢慢之，不可敬之。”
78,安,心,定,志,,指安下心来。,an,xin,ding,zhi,ān,xīn,dìng,zhì,明·吴承恩《西游记》第四回：“又差五斗星君送悟空去到任，外赐御酒一瓶，金花十朵，着他安心定志，再勿胡为。”
79,安,营,扎,寨,打什么地方进兵，打什么地方退兵，什么地方可以～，什么地方可以埋伏，指手画脚的讲了一通。（清·李宝嘉《官场现形记》第十四回,安、扎：建立，安置；寨：防守用的栅栏。指部队驻扎下来。也比喻建立临时的劳动或工作基地。,an,ying,zha,zhai,ān,yíng,zhā,zhài,元·无名氏《两军师隔江斗智》第二折：“这周瑜匹夫，累累兴兵来索取俺荆州地面，如今在柴桑渡口安营扎寨，其意非小。”
80,安,于,现,状,另有些同志在工作中疲蹋，老一套，～。（刘少奇《论党》）,对目前的情况习惯了，不愿改变。,an,yu,xian,zhuang,ān,yú,xiàn,zhuàng,
81,安,于,一,隅,,隅：角落。安心在某一个角落。形容苟安一角，不求进取。,an,yu,yi,yu,ān,yù,yī,yù,宋·陈亮《上孝宗皇帝第二书》：“臣恭惟皇帝陛下厉志复仇，不肯即安于一隅，是有功于社稷也。”
82,安,宅,正,路,,比喻仁义。谓以仁居心，以义行事。,an,zhai,zheng,lu,ān,zhái,zhèng,lù,《孟子·离娄上》：“仁，人之安宅也；义，人之正路也。旷安宅而弗居，舍正路而不由，哀哉！”
83,安,枕,而,卧,孔子见疏，必弃鲁国而适他国，君可～矣。（明·冯梦龙《东周列国志》第七十九回）,放好枕头睡大觉。比喻太平无事，不必担忧。,an,zhen,er,wo,ān,zhěn,ér,wò,《史记·黥英列传》：“使布出于上计，山东非汉之有也；出于中计，胜败之数未可知也；出于下计，陛下安枕而卧矣。”
84,安,之,若,命,,指人遭受的不幸看作命中注定，因而甘心承受。,an,zhi,ruo,ming,ān,zhī,ruò,mìng,《庄子·人间世》：“知其不可奈何而安之若命，德之至也。”
85,安,之,若,素,第二天宝小姐酒醒，很觉得过意不去。后来彼此熟了，见瞿太太常常如此，也就～了。（清·李宝嘉《官场现形记》第三十八回）,安：安然，坦然；之：代词，指人或物；素：平常。安然相处，和往常一样，不觉得有什么不合适。,an,zhi,ruo,su,ān,zhī,ruò,sù,清·范寅《越谚·附论·论堕贫》：“贪逸欲而逃勤苦，丧廉耻而习谄谀，甘居人下，安之若素。”
86,安,坐,待,毙,,坐着等死。指不积极想办法，坐等灭亡。,an,zuo,dai,bi,ān,zuò,dài,bì,明·李贽《焚书·复邓鼎石》：“惟是世人无才无术，或有才术矣，又恐利害及身，百般趋避，故亦遂因循不理，安坐待毙。”
87,鞍,马,劳,顿,恐王侄一路远来，～，故令王侄回营安歇。（清·钱彩《说岳全传》第四二回）,骑马赶路过久，劳累疲困。形容旅途劳累。,an,ma,lao,dun,ān,mǎ,láo,dùn,元·杨显之《潇湘雨》第四折：“兴儿，我一路上鞍马劳顿，我权且歇息。”
88,鞍,马,劳,困,,指长途跋涉或战斗中备尝困乏。,an,ma,lao,kun,ān,mǎ,láo,kùn,元·关汉卿《窦娥冤》第四折：“不觉的一阵昏沉上来，皆因老夫年纪高大，鞍马劳困之故。”
89,鞍,马,之,劳,,鞍马：鞍子和马，指长途跋涉或打仗。形容旅途或战斗的劳苦。,an,ma,zhi,lao,ān,mǎ,zhī,láo,元·关汉卿《窦娥冤》第四折：“不觉的一阵昏沉上来，皆因老夫年纪高大，鞍马劳困之故。”
90,鞍,前,马,后,～跟你跑，出生入死为你干。（王树元《杜鹃山》第五场）,马前马后。指追随左右。,an,qian,ma,hou,ān,qián,mǎ,hòu,
91,案,牍,劳,形,,文书劳累身体。形容公事繁忙。,an,du,lao,xing,àn,dú,láo,xíng,唐·刘禹锡《陋室铭》：“无案牍之劳形。”
92,按,兵,不,动,又听得寨前炮响，史文恭～，只要等他入来，塌了陷坑，山后伏兵齐起，接应捉人。（明·施耐庵《水浒全传》第六十八回）,按：止住。使军队暂不行动。现也比喻暂不开展工作。,an,bing,bu,dong,àn,bīng,bù,dòng,《吕氏春秋·恃君览》：“赵简子按兵而不动。”
93,按,部,就,班,但黄公俊的祖父，他开始读了书，象一般读书人似的，他～的要将八股型的才学，“货与帝王家”。（郑振铎《黄公俊之最后》）,部、班：门类，次序；就：归于。按照一定的步骤、顺序进行。也指按老规矩办事，缺乏创新精神。,an,bu,jiu,ban,àn,bù,jiù,bān,晋·陆机《文赋》：“然后选义案部，考辞就班。”
94,按,甲,寝,兵,,收拾起铠甲武器。比喻停止军事行动。,an,jia,qin,bing,àn,jiǎ,qǐn,bīng,晋·司马彪《九州春秋·傅干》：“愚以为且按甲寝兵，息养军士，定土分封，论功行赏。”
95,按,甲,休,兵,将军可～，退一箭之地。（明·李日华《南西厢记·许婚借援》）,收拾起铠甲武器。比喻停止军事行动。,an,jia,xiu,bing,àn,jiǎ,xiū,bīng,《汉书·韩信传》：“当今之计，不如按甲休兵，百里之内， 牛洒日至，以飨士大夫，北首燕路，然而发一乘之使，奉咫尺之书以使燕，燕必不敢不听。”
96,按,名,责,实,及～，台有评，省有核。（明·李东阳《漳州府进士提名记》）,按照事物名称，要求与实相符。,an,ming,ze,shi,àn,míng,zé,shí,唐·陆贽《请许台省长官举荐属吏状》：“夫求才贵广，孝课贵精。求广在于各举所知，长吏之荐择是也；孝精在于按名责实，宰臣之序进是也。”
97,按,捺,不,住,他一听这话，一股无名火直往上窜，无论如何也～。,按捺：压抑，忍耐。心里急燥，克制不住。,an,na,bu,zhu,àn,nà,bù,zhù,明·冯梦龙《警世通言·白娘子水镇雷峰塔》：“不想遇着许宣……按捺不住，一时冒范天条。”
98,按,辔,徐,行,,辔：马缰绳。轻轻按着缰绳，让马慢慢地走。,an,pei,xu,xing,àn,pèi,xú,xíng,《史记·绛侯周勃世家》：“壁门士吏谓从属车骑曰：‘将军约，军中不得驱驰。’于是天子乃按辔徐行。”
99,按,图,索,骥,每见一班～者，多失于骊黄牝牡。（明·赵汸《葬书问对》）,索：找；骥：良马。按照画像去寻求好马。比喻墨守成规办事；也比喻按照线索去寻求。,an,tu,suo,ji,àn,tú,suǒ,jì,《汉书·梅福传》：“今不循伯者之道，乃欲以三代选举之法取当时之士，犹察伯乐之图求骐骥于市，而不可得，变已明矣。”
100,按,行,自,抑,,按：克制。约束自己的行为。,an,xing,zi,yi,àn,xíng,zì,yì,唐·柳宗元《梦赋》：“忽崩赛上下兮，聊按行以自抑。”
